DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/14/2018,12:55,,,40.78628,-73.80598,"(40.78628, -73.80598)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3828581,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,12:55,BRONX,10464,40.85914,-73.81824,"(40.85914, -73.81824)",PELHAM PARKWAY                  ,SHORE ROAD,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,3829856,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,12:58,MANHATTAN,10028,40.775894,-73.94915,"(40.775894, -73.94915)",,,425       EAST 85 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3828913,PASSENGER VEHICLE,,,,
01/14/2018,13:00,BROOKLYN,11233,40.676342,-73.910934,"(40.676342, -73.910934)",ATLANTIC AVENUE                 ,ROCKAWAY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3828484,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,19:38,,,40.791557,-73.93866,"(40.791557, -73.93866)",EAST 109 STREET                 ,,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3829771,PASSENGER VEHICLE,,,,
01/14/2018,13:00,MANHATTAN,10018,40.757732,-73.99686,"(40.757732, -73.99686)",WEST 39 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3833277,PASSENGER VEHICLE,PICK-UP TRUCK,,,
01/14/2018,13:00,QUEENS,11375,40.713146,-73.84654,"(40.713146, -73.84654)",JUNO STREET                     ,72 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3828508,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,13:00,QUEENS,11432,40.713924,-73.80212,"(40.713924, -73.80212)",164 STREET                      ,84 DRIVE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3828151,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2018,13:00,,,40.76926,-73.801834,"(40.76926, -73.801834)",163 STREET                      ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3828582,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2018,13:08,BRONX,10457,40.84821,-73.89925,"(40.84821, -73.89925)",,,4229      PARK AVENUE                   ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3831185,PASSENGER VEHICLE,,,,
01/14/2018,13:08,,,40.663124,-73.96244,"(40.663124, -73.96244)",EMPIRE BOULEVARD                ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3829208,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2018,13:10,BROOKLYN,11234,40.630505,-73.92812,"(40.630505, -73.92812)",AVENUE I                        ,UTICA AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3830017,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
